Date,Tweets
2014-11-27,25790.0
2014-11-28,24830.0
2014-11-29,26555.0
2014-11-30,20117.0
2014-12-01,26508.0
2014-12-02,32744.0
2014-12-03,24990.0
2014-12-04,26370.0
2014-12-05,25043.0
2014-12-06,21503.0
2014-12-07,21983.0
2014-12-08,24899.0
2014-12-09,27224.0
2014-12-10,25421.0
2014-12-11,32162.0
2014-12-12,25383.0
2014-12-13,26584.0
2014-12-14,23579.0
2014-12-15,26094.0
2014-12-16,27622.0
2014-12-17,28350.0
2014-12-18,26969.0
2014-12-19,23574.0
2014-12-20,23524.0
2014-12-21,21411.0
2014-12-22,23172.0
2014-12-23,25504.0
2014-12-24,24192.0
2014-12-25,21216.0
2014-12-26,21728.0
2014-12-27,21543.0
2014-12-28,18427.0
2014-12-29,19605.0
2014-12-30,19477.0
2014-12-31,20017.0
2015-01-01,18681.0
2015-01-02,9385.0
2015-01-03,
2015-01-04,7300.0
2015-01-05,23092.0
2015-01-06,25041.0
2015-01-07,26987.0
2015-01-08,22546.0
2015-01-09,30439.0
2015-01-10,22162.0
2015-01-11,20760.0
2015-01-12,24861.0
2015-01-13,30086.0
2015-01-14,35414.0
2015-01-15,26417.0
2015-01-16,26448.0
2015-01-17,19187.0
2015-01-18,24812.0
2015-01-19,27548.0
2015-01-20,26982.0
2015-01-21,24660.0
2015-01-22,25882.0
2015-01-23,24058.0
2015-01-24,32718.0
2015-01-25,21312.0
2015-01-26,33929.0
2015-01-27,26135.0
2015-01-28,27422.0
2015-01-29,25184.0
2015-01-30,22919.0
2015-01-31,18146.0
2015-02-01,19445.0
2015-02-02,24761.0
2015-02-03,33419.0
2015-02-04,22995.0
2015-02-05,28935.0
2015-02-06,23289.0
2015-02-07,19540.0
2015-02-08,20792.0
2015-02-09,24642.0
2015-02-10,24331.0
2015-02-11,39339.0
2015-02-12,25742.0
2015-02-13,27697.0
2015-02-14,19041.0
2015-02-15,21846.0
2015-02-16,24782.0
2015-02-17,24354.0
2015-02-18,22628.0
2015-02-19,24979.0
2015-02-20,29514.0
2015-02-21,20543.0
2015-02-22,20579.0
2015-02-23,23428.0
2015-02-24,24385.0
2015-02-25,24137.0
2015-02-26,26283.0
2015-02-27,30545.0
2015-02-28,20811.0
2015-03-01,18895.0
2015-03-02,23297.0
2015-03-03,25764.0
2015-03-04,25007.0
2015-03-05,24174.0
2015-03-06,22774.0
2015-03-07,19322.0
2015-03-08,19396.0
2015-03-09,23937.0
2015-03-10,28378.0
2015-03-11,25733.0
2015-03-12,24527.0
2015-03-13,25574.0
2015-03-14,21952.0
2015-03-15,24161.0
2015-03-16,24071.0
2015-03-17,36584.0
2015-03-18,24807.0
2015-03-19,31393.0
2015-03-20,26773.0
2015-03-21,23297.0
2015-03-22,27846.0
2015-03-23,34762.0
2015-03-24,31576.0
2015-03-25,35297.0
2015-03-26,37079.0
2015-03-27,36691.0
2015-03-28,31697.0
2015-03-29,31897.0
2015-03-30,38669.0
2015-03-31,35388.0
2015-04-01,34237.0
2015-04-02,29264.0
2015-04-03,30317.0
2015-04-04,27885.0
2015-04-05,29227.0
2015-04-06,29046.0
2015-04-07,29994.0
2015-04-08,37076.0
2015-04-09,37353.0
2015-04-10,28657.0
2015-04-11,27225.0
2015-04-12,25877.0
2015-04-13,29205.0
2015-04-14,30124.0
2015-04-15,28598.0
2015-04-16,34517.0
2015-04-17,28275.0
2015-04-18,25659.0
2015-04-19,26993.0
2015-04-20,28470.0
2015-04-21,32701.0
2015-04-22,30895.0
2015-04-23,30202.0
2015-04-24,35266.0
2015-04-25,25715.0
2015-04-26,36471.0
2015-04-27,39066.0
2015-04-28,31957.0
2015-04-29,30639.0
2015-04-30,29720.0
2015-05-01,27237.0
2015-05-02,25012.0
2015-05-03,27042.0
2015-05-04,29448.0
2015-05-05,27820.0
2015-05-06,29624.0
2015-05-07,27526.0
2015-05-08,25655.0
2015-05-09,23791.0
2015-05-10,31503.0
2015-05-11,32317.0
2015-05-12,30635.0
2015-05-13,30934.0
2015-05-14,31708.0
2015-05-15,42997.0
2015-05-16,32407.0
2015-05-17,32810.0
2015-05-18,34624.0
2015-05-19,34750.0
2015-05-20,30108.0
2015-05-21,27578.0
2015-05-22,29926.0
2015-05-23,27166.0
2015-05-24,27968.0
2015-05-25,30637.0
2015-05-26,34578.0
2015-05-27,29218.0
2015-05-28,23591.0
2015-05-29,24045.0
2015-05-30,23844.0
2015-05-31,24048.0
2015-06-01,27087.0
2015-06-02,28566.0
2015-06-03,34732.0
2015-06-04,76661.0
2015-06-05,28700.0
2015-06-06,27936.0
2015-06-07,26086.0
2015-06-08,46002.0
2015-06-09,43106.0
2015-06-10,26645.0
2015-06-11,52355.0
2015-06-12,36988.0
2015-06-13,21875.0
2015-06-14,46935.0
2015-06-15,28128.0
2015-06-16,84152.0
2015-06-17,35914.0
2015-06-18,38557.0
2015-06-19,28107.0
2015-06-20,25438.0
2015-06-21,23500.0
2015-06-22,27394.0
2015-06-23,28352.0
2015-06-24,36725.0
2015-06-25,26008.0
2015-06-26,23984.0
2015-06-27,23636.0
2015-06-28,25663.0
2015-06-29,40197.0
2015-06-30,33375.0
2015-07-01,29052.0
2015-07-02,27119.0
2015-07-03,25771.0
2015-07-04,23847.0
2015-07-05,24976.0
2015-07-06,36903.0
2015-07-07,29915.0
2015-07-08,36474.0
2015-07-09,30281.0
2015-07-10,29616.0
2015-07-11,24645.0
2015-07-12,26775.0
2015-07-13,42326.0
2015-07-14,50267.0
2015-07-15,38595.0
2015-07-16,35125.0
2015-07-17,29831.0
2015-07-18,25985.0
2015-07-19,25071.0
2015-07-20,36888.0
2015-07-21,30095.0
2015-07-22,44651.0
2015-07-23,33408.0
2015-07-24,28664.0
